,Keyword,Company,Job_title,Location,salary,post_date,Experience,Mean_Salary,Remote,City/County,State,Cleaned_Salary
140,IT project manager,Pacific Computer Consultants,Sr. MSP Project Engineer,"Pittsburgh, PA",$100K - $130K (Employer est.),18d,Mid-level,115000.0,0,Pittsburgh,PA,115.0
141,IT project manager,"Sensata Technologies, Inc.",Senior Project Manager,Remote,$109K - $150K (Employer est.),30d+,Mid-level,129500.0,1,Remote,Unknown,129.5
143,IT project manager,GuROO,Senior Engineering Project Manager,"Warrenton, VA",$150K (Employer est.),30d+,Mid-level,150000.0,0,Warrenton,VA,150.0
145,IT project manager,Tech Army,Technical Project Manager 4,Remote,$110.42 - $115.91 Per Hour (Employer est.),23d,Mid-level,,1,Remote,Unknown,
146,IT project manager,CVS Health,"Manager, Scrum Master","Raleigh, NC",$83K - $167K (Employer est.),24h,Mid-level,125000.0,0,Raleigh,NC,125.0
147,IT project manager,DraftKings,Senior Associate Delivery Manager,Remote,$82K - $102K (Employer est.),6d,Mid-level,92000.0,1,Remote,Unknown,92.0
148,IT project manager,CliftonLarsonAllen,Senior IT Project Manager,"Milwaukee, WI",$97K - $126K (Glassdoor est.),24h,Mid-level,111500.0,0,Milwaukee,WI,111.5
149,IT project manager,Govcio LLC,Sr. Project Manager (Remote),Remote,$115K - $125K (Employer est.),24h,Mid-level,120000.0,1,Remote,Unknown,120.0
150,IT project manager,Worldpay,Sr. Implementation Project Manager,Remote,$105K - $177K (Employer est.),24h,Mid-level,141000.0,1,Remote,Unknown,141.0
151,IT project manager,Grainger,IT PMO Sr Analyst,"Lake Forest, IL",$78K - $130K (Employer est.),24h,Mid-level,104000.0,0,Lake Forest,IL,104.0
154,IT project manager,MNS Group,Senior Project Manager,United States,$120K - $130K (Employer est.),30d+,Mid-level,125000.0,0,United States,Unknown,125.0
155,IT project manager,"Mom's Meals, a PurFoods Company",Sr Project Manager,"Kansas City, KS",$87K - $122K (Glassdoor est.),22d,Mid-level,104500.0,0,Kansas City,KS,104.5
156,IT project manager,EVERSOURCE,IT Senior Project Manager (Hybrid),"Westwood, MA",$135K - $150K (Employer est.),30d+,Mid-level,142500.0,0,Westwood,MA,142.5
157,IT project manager,Deloitte,Technical Full Stack JAVA Team lead Scrum Master,"Austin, TX",$85K - $133K (Glassdoor est.),30d+,Mid-level,109000.0,0,Austin,TX,109.0
158,IT project manager,"Value Added Solutions, Inc.",Technical Project Manager 4,"Los Alamos, NM",$104K - $148K (Glassdoor est.),22d,Mid-level,126000.0,0,Los Alamos,NM,126.0
159,IT project manager,Centene,Project Manager III,Florida,$86K - $155K (Employer est.),3d,Mid-level,120500.0,0,Florida,Unknown,120.5
160,IT project manager,AT&T,Senior Project Manager,"Plano, TX",$106K - $158K (Employer est.),2d,Mid-level,132000.0,0,Plano,TX,132.0
161,IT project manager,W2O Group,Senior Project Manager,Remote,$110K - $140K (Employer est.),24d,Mid-level,125000.0,1,Remote,Unknown,125.0
162,IT project manager,Govcio LLC,Sr. Project Manager (Remote),Remote,$100K - $110K (Employer est.),22d,Mid-level,105000.0,1,Remote,Unknown,105.0
163,IT project manager,KinderCare Education,Sr IT Project Manager - Remote Opportunity,"Beaverton, OR",$88K - $129K (Glassdoor est.),7d,Mid-level,108500.0,0,Beaverton,OR,108.5
165,IT project manager,Premise Health,Senior Project Manager,Remote,$85K - $109K (Employer est.),30d+,Mid-level,97000.0,1,Remote,Unknown,97.0
166,IT project manager,Cognizant,Delivery Manager / Senior Project Manager,"Boston, MA",$140K - $163K (Employer est.),24h,Mid-level,151500.0,0,Boston,MA,151.5
167,IT project manager,hims & hers,Sr. Project Manager,"San Francisco, CA",$110K - $125K (Employer est.),24h,Mid-level,117500.0,0,San Francisco,CA,117.5
168,IT project manager,"QSC, LLC",Agile Scrum Lead,Remote,$114K - $149K (Employer est.),14d,Mid-level,131500.0,1,Remote,Unknown,131.5
169,IT project manager,Origami Risk LLC,Senior Project Manager,Remote,$105K - $135K (Employer est.),23d,Mid-level,120000.0,1,Remote,Unknown,120.0
172,IT project manager,Ephesus Solutions,Senior Project Manager,"Franklin, TN",$130K - $140K (Employer est.),2d,Mid-level,135000.0,0,Franklin,TN,135.0
173,IT project manager,Kaiser Permanente,Project Manager III - IT Capital Construction (Oakland),"Oakland, CA",$133K - $172K (Employer est.),24h,Mid-level,152500.0,0,Oakland,CA,152.5
174,IT project manager,"Celldex Therapeutics, Inc.",Senior Project Manager,"Hampton, NJ",$93K - $133K (Glassdoor est.),30d+,Mid-level,113000.0,0,Hampton,NJ,113.0
175,IT project manager,"Health In Tech, Inc",Project Leader,Remote,$85K - $110K (Employer est.),24h,Mid-level,97500.0,1,Remote,Unknown,97.5
176,IT project manager,Centric Consulting,Sr. Scrum Master,"Saint Louis, MO",$102K - $140K (Glassdoor est.),3d,Mid-level,121000.0,0,Saint Louis,MO,121.0
177,IT project manager,Ivy Tech Community College,Senior Agile Scrum Master,Indiana,$85K - $95K (Employer est.),2d,Mid-level,90000.0,0,Indiana,Unknown,90.0
178,IT project manager,ManTech,Technical Project Manager,"Eglin Village, FL",$99K - $137K (Glassdoor est.),10d,Mid-level,118000.0,0,Eglin Village,FL,118.0
179,IT project manager,Valvoline Global,IT Project Manager Sr,"Lexington, KY",$67K - $96K (Glassdoor est.),11d,Mid-level,81500.0,0,Lexington,KY,81.5
180,IT project manager,JND,[Hybrid] Telecom - IT Project Manager 5 (13988-4),"Mountain View, CA",$71.00 - $75.00 Per Hour (Employer est.),24h,Mid-level,,0,Mountain View,CA,
181,IT project manager,Frost Bank,IT PROJECT MANAGER II,"Austin, TX",$84K - $110K (Glassdoor est.),6d,Mid-level,97000.0,0,Austin,TX,97.0
182,IT project manager,Infinite Campus,IT PROJECT MANAGER II (317A12325v2),"Blaine, MN",$115K (Employer est.),24h,Mid-level,115000.0,0,Blaine,MN,115.0
183,IT project manager,Trustmark,IT Project Manager IV,"Lake Forest, IL",$100K - $186K (Employer est.),6d,Mid-level,143000.0,0,Lake Forest,IL,143.0
184,IT project manager,American University,Senior IT Project Manager,"Washington, DC",$115K - $130K (Employer est.),4d,Mid-level,122500.0,0,Washington,DC,122.5
185,IT project manager,Broadridge,Sr. Scrum Master (Hybrid),"Edgewood, NY",$100K - $130K (Employer est.),24h,Mid-level,115000.0,0,Edgewood,NY,115.0
186,IT project manager,Gallagher Bassett,Sr. Project Manager,"Rolling Meadows, IL",$95K - $186K (Employer est.),24h,Mid-level,140500.0,0,Rolling Meadows,IL,140.5
188,IT project manager,"Red Hat, Inc.",Senior Project Manager - Agile Practitioner,"Raleigh, NC",$116K - $192K (Employer est.),24h,Mid-level,154000.0,0,Raleigh,NC,154.0
189,IT project manager,PG&E Corporation,Senior Corporate Security/IT Project Manager,"Oakland, CA",$123K - $207K (Employer est.),30d+,Mid-level,165000.0,0,Oakland,CA,165.0
190,IT project manager,Illumina,Associate Project Manager,"San Diego, CA",$67K - $101K (Employer est.),4d,Mid-level,84000.0,0,San Diego,CA,84.0
